Census year,CLUE small area,Trading name,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude
2021,Melbourne (CBD),Marameo,Cafes and Restaurants,Seats - Indoor,65,144.9675812,-37.81390745
2021,Melbourne (CBD),The Meating House,Cafes and Restaurants,Seats - Indoor,16,144.9701094,-37.81281419
2021,Melbourne (CBD),Back Velvet Coffee,Takeaway Food Services,Seats - Indoor,14,144.9711073,-37.81240243
2021,Melbourne (CBD),Sakae,Cafes and Restaurants,Seats - Indoor,20,144.957392,-37.81531894
2021,Melbourne (CBD),Cafenatics,Cafes and Restaurants,Seats - Outdoor,39,144.9587722,-37.81494329
2021,Melbourne (CBD),Movida Aqui,Cafes and Restaurants,Seats - Outdoor,50,144.9587722,-37.81494329
2021,Melbourne (CBD),Subway,Cafes and Restaurants,Seats - Indoor,34,144.9602242,-37.81467981
2021,Melbourne (CBD),Pho Melbourne,Cafes and Restaurants,Seats - Indoor,57,144.9582198,-37.81491755
2021,Melbourne (CBD),The Cupcake Queens,Cafes and Restaurants,Seats - Indoor,16,144.9617382,-37.81422024
2021,Melbourne (CBD),Shanghai Street on Bourke,Cafes and Restaurants,Seats - Indoor,130,144.9626712,-37.81411294
2021,Melbourne (CBD),Tropicana Juice Bar,Cafes and Restaurants,Seats - Outdoor,30,144.9625479,-37.81354026
2021,Melbourne (CBD),Grill'd Healthy Burgers,Cafes and Restaurants,Seats - Indoor,90,144.9617817,-37.81367165
2021,Melbourne (CBD),Florence Coffee,Cafes and Restaurants,Seats - Indoor,12,144.9613939,-37.81379738
2021,Melbourne (CBD),Federal Coffee,Cafes and Restaurants,Seats - Outdoor,155,144.9632886,-37.81360351
2021,Melbourne (CBD),The Salon,Cafes and Restaurants,Seats - Indoor,54,144.9638271,-37.81344773
2021,Melbourne (CBD),Nong Tang Noodle House,Cafes and Restaurants,Seats - Indoor,46,144.967269,-37.81241904
2021,Melbourne (CBD),Shandong Mama Dumplings,Cafes and Restaurants,Seats - Indoor,60,144.967269,-37.81241904
2021,Melbourne (CBD),Wagaya Japanese Restaurant,Cafes and Restaurants,Seats - Outdoor,20,144.967269,-37.81241904
2021,Melbourne (CBD),Shanghai Dragon Dumpling House,Cafes and Restaurants,Seats - Indoor,28,144.9676473,-37.81246628
2021,Melbourne (CBD),The Elephant and Wheelbarrow,"Pubs, Taverns and Bars",Seats - Outdoor,36,144.9702436,-37.81191581
2021,Melbourne (CBD),Bar Clara,"Pubs, Taverns and Bars",Seats - Indoor,32,144.9699124,-37.81128979
2021,Melbourne (CBD),Bangkok Jam,Cafes and Restaurants,Seats - Indoor,60,144.9692731,-37.81147787
2021,Melbourne (CBD),David's Spicy Pot,Cafes and Restaurants,Seats - Indoor,76,144.9682063,-37.81232005
2021,Melbourne (CBD),Grossi Florentino,Cafes and Restaurants,Seats - Indoor,210,144.9708464,-37.81173059
2021,Melbourne (CBD),Self Preservation,Cafes and Restaurants,Seats - Outdoor,16,144.9710754,-37.81166904
2021,Melbourne (CBD),Becco,Cafes and Restaurants,Seats - Indoor,100,144.9710138,-37.81143031
2021,Melbourne (CBD),Daughter In Law,Cafes and Restaurants,Seats - Outdoor,12,144.9715059,-37.81083601
2021,Melbourne (CBD),Punch Lane Wine Bar/Restaurant,Cafes and Restaurants,Seats - Indoor,45,144.9713631,-37.81092017
2021,Melbourne (CBD),Kebab Society,Takeaway Food Services,Seats - Outdoor,2,144.9548589,-37.81514957
2021,Melbourne (CBD),Higher Ground,Cafes and Restaurants,Seats - Indoor,120,144.953608,-37.81541879
2021,Melbourne (CBD),Hibachi,Cafes and Restaurants,Seats - Indoor,100,144.955309,-37.81478619
2021,Melbourne (CBD),Schmucks Bagels,Cafes and Restaurants,Seats - Indoor,18,144.9570652,-37.8146458
2021,Melbourne (CBD),Gasthaus On Queen,Cafes and Restaurants,Seats - Indoor,55,144.9599066,-37.81386712
2021,Melbourne (CBD),French Fix,Cafes and Restaurants,Seats - Outdoor,4,144.9597518,-37.81355872
2021,Melbourne (CBD),1000 Wat,Cafes and Restaurants,Seats - Indoor,59,144.9639289,-37.81247035
2021,Melbourne (CBD),Din Tai Fung,Cafes and Restaurants,Seats - Indoor,200,144.9639289,-37.81247035
2021,Melbourne (CBD),Little Sparrow Melbourne,Takeaway Food Services,Seats - Indoor,32,144.9639289,-37.81247035
2021,Melbourne (CBD),Toyko Pop,Cafes and Restaurants,Seats - Indoor,60,144.9639289,-37.81247035
2021,Melbourne (CBD),Bornga Melbourne,Cafes and Restaurants,Seats - Indoor,110,144.9669257,-37.8118562
2021,Melbourne (CBD),Spice World Melbourne,Cafes and Restaurants,Seats - Indoor,100,144.96713,-37.81185544
2021,Melbourne (CBD),Shujinko,Cafes and Restaurants,Seats - Indoor,48,144.9671362,-37.81134266
2021,Melbourne (CBD),Bomba Tapas Bar and Rooftop,Cafes and Restaurants,Seats - Indoor,118,144.9692533,-37.81049414
2021,Melbourne (CBD),Ishiya Stonegrill,Cafes and Restaurants,Seats - Indoor,40,144.9679606,-37.81133822
2021,Melbourne (CBD),Secret Kitchen,Cafes and Restaurants,Seats - Indoor,300,144.9704817,-37.8104747
2021,Melbourne (CBD),Longrain Melbourne,Cafes and Restaurants,Seats - Indoor,140,144.9711822,-37.81059081
2021,Melbourne (CBD),House Of Kebabs,Cafes and Restaurants,Seats - Indoor,21,144.9543126,-37.81391978
2021,Melbourne (CBD),Paik's Bbq,Cafes and Restaurants,Seats - Indoor,72,144.956397,-37.81311166
2021,Melbourne (CBD),Sinjeon Food System,Cafes and Restaurants,Seats - Outdoor,8,144.9560016,-37.81346261
2021,Melbourne (CBD),CJ Lunchbar,Cafes and Restaurants,Seats - Indoor,36,144.9603413,-37.81187404
2021,Melbourne (CBD),Papparich,Cafes and Restaurants,Seats - Outdoor,40,144.9657251,-37.81067862
2021,Melbourne (CBD),Schnitz QV,Cafes and Restaurants,Seats - Indoor,134,144.9657251,-37.81067862
2021,Melbourne (CBD),Schnitz QV,Cafes and Restaurants,Seats - Outdoor,46,144.9657251,-37.81067862
2021,Melbourne (CBD),Grill'd (QV),Cafes and Restaurants,Seats - Indoor,100,144.9657251,-37.81067862
2021,Melbourne (CBD),Max Brenner Chocolates,Cafes and Restaurants,Seats - Indoor,36,144.9657251,-37.81067862
2021,Melbourne (CBD),Max Brenner Chocolates,Cafes and Restaurants,Seats - Outdoor,56,144.9657251,-37.81067862
2021,Melbourne (CBD),Pepe's Italian & Liquor,Cafes and Restaurants,Seats - Outdoor,200,144.9689053,-37.80938252
2021,Melbourne (CBD),Sulbing Dessert Bar,Cafes and Restaurants,Seats - Outdoor,16,144.9673695,-37.81056736
2021,Melbourne (CBD),Melbourne Whisky Room,"Pubs, Taverns and Bars",Seats - Indoor,45,144.967164,-37.81011058
2021,Melbourne (CBD),Shanxi Street Food,Cafes and Restaurants,Seats - Indoor,62,144.9672271,-37.81025482
2021,Melbourne (CBD),My Mom's Yangpyeong Haejanggook Melbourne,Cafes and Restaurants,Seats - Indoor,40,144.955573,-37.81290462
2021,Melbourne (CBD),The Workers Food Room,Cafes and Restaurants,Seats - Indoor,38,144.9555036,-37.81299024
2021,Melbourne (CBD),STREAT,Takeaway Food Services,Seats - Indoor,16,144.9628389,-37.81090175
2021,Melbourne (CBD),The Moat Bar & Cafe,Cafes and Restaurants,Seats - Outdoor,50,144.965303,-37.80976764
2021,Melbourne (CBD),Grandma's Dumplings,Cafes and Restaurants,Seats - Indoor,44,144.9687048,-37.80869912
2021,West Melbourne (Residential),Komegashi,Cafes and Restaurants,Seats - Indoor,25,144.9536293,-37.81236174
2021,Melbourne (CBD),Operator 25,Cafes and Restaurants,Seats - Outdoor,18,144.9572292,-37.81067687
2021,West Melbourne (Residential),The Haileyburian,Cafes and Restaurants,Seats - Outdoor,12,144.9529245,-37.81110763
2021,Melbourne (CBD),Tokyo Ya Japanese Restaurant,Cafes and Restaurants,Seats - Indoor,46,144.9565992,-37.81017255
2021,Melbourne (CBD),Workshop,"Pubs, Taverns and Bars",Seats - Indoor,50,144.9605218,-37.80918734
2021,Melbourne (CBD),Daboba,Takeaway Food Services,Seats - Outdoor,4,144.9595688,-37.80904349
2021,Melbourne (CBD),Pizza @ QV,Cafes and Restaurants,Seats - Indoor,12,144.9576272,-37.80783257
2021,Melbourne (CBD),Roasted@Qvm,Takeaway Food Services,Seats - Indoor,12,144.9576272,-37.80783257
2021,Melbourne (CBD),Jasper Kitchen,Cafes and Restaurants,Seats - Outdoor,6,144.9596336,-37.80750391
2021,Carlton,Wild Timor Coffee Carlton Pty Ltd,Cafes and Restaurants,Seats - Outdoor,24,144.9652569,-37.79872084
2021,Carlton,Brunetti Carlton,Cafes and Restaurants,Seats - Outdoor,100,144.9681485,-37.7980396
2021,Carlton,Fu Lu Chinese Cafe,Cafes and Restaurants,Seats - Indoor,20,144.9711596,-37.79532249
2021,Carlton,Colourful Yunnan Restaurant,Cafes and Restaurants,Seats - Outdoor,8,144.9642369,-37.80062735
2021,Carlton,Leyalina,Cafes and Restaurants,Seats - Indoor,48,144.9664966,-37.80114232
2021,Carlton,Dragon hot pot,Cafes and Restaurants,Seats - Indoor,46,144.9657699,-37.80081695
2021,Carlton,Pertutti Cafe Restaurant,Cafes and Restaurants,Seats - Outdoor,12,144.9671431,-37.80218764
2021,Carlton,Hakata Gensuke Carlton,Cafes and Restaurants,Seats - Outdoor,8,144.966702,-37.8044377
2021,Carlton,Dong Phuong Vietnamese Cuisine,Cafes and Restaurants,Seats - Outdoor,16,144.966702,-37.8044377
2021,Carlton,Killiney Kopitiam,Cafes and Restaurants,Seats - Indoor,27,144.966702,-37.8044377
2021,Carlton,D'Penyetz & D'Cendol,Cafes and Restaurants,Seats - Outdoor,22,144.966702,-37.8044377
2021,Carlton,Carlton Curry House,Cafes and Restaurants,Seats - Outdoor,12,144.966702,-37.8044377
2021,Carlton,Lambs Restaurant,Cafes and Restaurants,Seats - Outdoor,22,144.966702,-37.8044377
2021,Carlton,Flovie Florist Cafe,Cafes and Restaurants,Seats - Outdoor,10,144.9599256,-37.80440558
2021,Carlton,Humble Rays,Cafes and Restaurants,Seats - Indoor,60,144.961409,-37.80478096
2021,West Melbourne (Residential),Miami Hotel Melbourne,Accommodation,Seats - Outdoor,12,144.9485177,-37.80608742
2021,West Melbourne (Residential),279,Cafes and Restaurants,Seats - Outdoor,6,144.9519702,-37.80566904
2021,East Melbourne,Hard Pressed,Cafes and Restaurants,Seats - Outdoor,6,144.9875548,-37.81637728
2021,East Melbourne,Pokapoka Japanese Restaurant,Cafes and Restaurants,Seats - Outdoor,8,144.9876295,-37.81638568
2021,East Melbourne,Square & Compass,Cafes and Restaurants,Seats - Outdoor,9,144.9841152,-37.80977835
2021,East Melbourne,Kiwi Tribeca Fish Burger Bar,Takeaway Food Services,Seats - Outdoor,5,144.9856242,-37.81004733
2021,East Melbourne,Zouki Cafe,Cafes and Restaurants,Seats - Indoor,68,144.984102,-37.81228396
2021,East Melbourne,Magnolia Court Boutique Hotel,Accommodation,Seats - Outdoor,12,144.9853028,-37.81337466
2021,East Melbourne,Magnolia Court Boutique Hotel,Accommodation,Seats - Indoor,18,144.9853028,-37.81337466
2021,East Melbourne,Laurent - Boulangerie Patisserie,Cafes and Restaurants,Seats - Indoor,51,144.9848349,-37.81608712
2021,East Melbourne,Degani @ East Melbourne,Cafes and Restaurants,Seats - Outdoor,18,144.9787049,-37.80963921
2021,East Melbourne,Zouki on the Park,Cafes and Restaurants,Seats - Indoor,60,144.9774,-37.81151967
2021,East Melbourne,Mr Tod,Cafes and Restaurants,Seats - Outdoor,47,144.9757458,-37.81162279
2021,East Melbourne,Treasury Cafe,Cafes and Restaurants,Seats - Outdoor,80,144.9756715,-37.81280015
2021,East Melbourne,Mantra On Jolimont / Boundary Line Bar,Accommodation,Seats - Outdoor,15,144.9782778,-37.81794934
2021,Melbourne (Remainder),Delaware North Companies Australia Pty Ltd,Catering Services,Seats - Indoor,4920,144.9790385,-37.8213404
2021,Melbourne (Remainder),Earl Canteen,Cafes and Restaurants,Seats - Indoor,12,144.9759379,-37.83587082
2021,Southbank,Cafe Godot,Cafes and Restaurants,Seats - Indoor,20,144.9660716,-37.82539897
2021,Southbank,Lionel Gell Lounge,Cafes and Restaurants,Seats - Outdoor,14,144.9694138,-37.82453473
2021,Southbank,La Camera,Cafes and Restaurants,Seats - Indoor,230,144.9663031,-37.82071821
2021,Southbank,Pure South Kitchen,Cafes and Restaurants,Seats - Outdoor,20,144.9663031,-37.82071821
2021,Southbank,Red Emperor,Cafes and Restaurants,Seats - Indoor,100,144.9663031,-37.82071821
2021,Southbank,Jarrah Restaurant & Bar,Cafes and Restaurants,Seats - Indoor,85,144.9671087,-37.82038213
2021,Docklands,Urban Hub,Supermarket and Grocery Stores,Seats - Outdoor,4,144.9412156,-37.82356096
2021,Docklands,Corniche,Cafes and Restaurants,Seats - Indoor,100,144.9432024,-37.82430946
2021,Port Melbourne,Ootoro,Cafes and Restaurants,Seats - Indoor,24,144.9208732,-37.82605979
2021,Southbank,Belgian Beer Cafe Melbourne,"Pubs, Taverns and Bars",Seats - Indoor,150,144.9645387,-37.82168057
2022,Melbourne (CBD),Bluebag,Cafes and Restaurants,Seats - Outdoor,15,144.9611125,-37.81744869
2022,Melbourne (CBD),Falcon 367,Cafes and Restaurants,Seats - Indoor,52,144.9624425,-37.81728185
2022,Melbourne (CBD),Northeast China Family,Cafes and Restaurants,Seats - Indoor,124,144.963914,-37.81718534
2022,Melbourne (CBD),Shandong Mama Mini,Takeaway Food Services,Seats - Outdoor,9,144.9654744,-37.81664452
2022,Melbourne (CBD),Ginger Olive Restaurant and Grill,Cafes and Restaurants,Seats - Outdoor,35,144.9661998,-37.81642162
2022,Melbourne (CBD),Hazel Melbourne,Cafes and Restaurants,Seats - Indoor,150,144.9687615,-37.81545152
